Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000808832510451926,0.00643647418463591,0.0408668159441613,0,0,0,0.729099851036723,0.00139196978759476,5.68159107516232E-05,6.16207932009857E-07,0.00177909791118211,-1.68685543653175E-05,0.00279673901229454,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/base_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/base_link.STL,,灵动joint1底座-1;灵动 joint1底板与底座连接件-1;PCB板固定件-1;灵动 joint1  底座上盖-1;底座按钮固定件-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-2/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-2/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-2/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-2/FK-AP-019-20210309-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-1/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-1/FK-AP-019-20210309-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-1/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-1/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-1/WJ-DP00-0002-FK-AP-020_1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-2/WJ-DP00-0002-FK-AP-020_1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.000232391087694535,-1.30049454546467E-05,0.00272122513752755,0,0,0,0.193725361315237,0.000258312653055438,8.79363230651008E-07,-6.87511809706199E-07,0.000149233685494123,-1.07703111237371E-06,0.000339752801671385,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link1.STL,,灵动 joint2  底板-1;灵动joint2飞特舵机连轴承件-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-4/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-4/WJ-DP00-0002-FK-AP-020_1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-4/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-4/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;灵动joint2飞特舵机连轴承件-2;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-3/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-3/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-3/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-3/WJ-DP00-0002-FK-AP-020_1-1,Link1,Joint1,Joint1,revolute,0,0,0.1295,0,0,0,base_link,0,0,-1,12,5,-2.16,2.16,,,,,,,,
Link2,0.149948141017768,-0.00073733103436536,-0.000614552702572041,0,0,0,0.216765318032361,0.00012827957403101,-1.18676813578654E-07,-1.68171130903575E-06,0.000226231611908606,-3.50051091633141E-07,0.000143215063853149,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link2.STL,,灵动 joint2-joint3 连接短杆-2-1;灵动 joint2-joint3 连接杆-1-1;灵动铝型材铝型材-1;joint4转接铝型材1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-6/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-6/WJ-DP00-0002-FK-AP-020_1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-6/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-6/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵动飞特舵机连轴承件1-2;灵动飞特舵机连轴承件1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-5/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-5/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-5/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-5/WJ-DP00-0002-FK-AP-020_1-1,Link2,Joint2,Joint2,revolute,0,-5E-05,0.04287,1.5708,-1.5708,0,Link1,0,0,-1,12,5,-1.57,1.57,,,,,,,,
Link3,0.055786319810667,0.00248143782929366,0.000269720725052352,0,0,0,0.0845575681430802,2.87941478239851E-05,-2.26498116289353E-06,-5.38445390787684E-06,7.61918370068424E-05,-3.82299515503286E-07,8.043706644056E-05,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link3.STL,,joint4转铝型材短杆A-1;joint4-joint5连接杆-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-7/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-7/WJ-DP00-0002-FK-AP-020_1-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-7/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-7/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-7/FK-AP-019-20210309-1,Link3,Joint3,Joint3,revolute,0.22367,-0.022592,0,0,0,-2.3562,Link2,0,0,-1,12,5,-0.5,2.35619,,,,,,,,
Link4,0.000298365504501796,-0.000601368925849056,0.0663740391896737,0,0,0,0.0653695953286747,7.03004188086337E-05,-9.68417851161416E-09,-7.50131707418093E-07,6.8747029788813E-05,4.45271906086873E-08,1.68226189350765E-05,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link4.STL,,joint4-joint5 连接杆B-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-8/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-8/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-8/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-8/FK-AP-019-20210309-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-8/WJ-DP00-0002-FK-AP-020_1-1,Link4,Joint4,Joint4,revolute,0.0986,-0.00211,0.0002,-1.5708,0,-1.5708,Link3,0,0,-1,12,5,-3.14,3.14,,,,,,,,
Link5,-0.0110961410990681,0.0308024762289942,-0.000207575403674642,0,0,0,0.0463941316397046,1.8425786696003E-05,2.02919305442313E-06,-5.09341788606234E-08,2.39811947218569E-05,-4.22854804621873E-08,1.63952567717743E-05,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link5.STL,,连接件双轴竖直连接件-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-9/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-9/ST-3235M-20211119_ASM_ASM-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;joint6舵机连轴承件-1,Link5,Joint5,Joint5,revolute,0,0.00015,0.12275,1.5708,0,0,Link4,0,0,1,12,5,-1.57,1.5,,,,,,,,
Link6,-3.11347120307559E-09,6.19962735608128E-10,-0.00146275616399921,0,0,0,0.000754053623586768,1.9236769291339E-08,9.19452445636026E-14,3.52333012571258E-15,1.92358360258478E-08,-3.901270498029E-17,3.70123450485896E-08,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link6.STL,,d1af1229ada614f235b70f4b544e04d4_1ed7d24efa17bf0a006db0ea897a6b6f_8-9/FK-AP-019-20210309-1,Link6,Joint6,Joint6,revolute,-0.00385,0.0573,-0.00035,-1.5708,0,0,Link5,0,0,1,12,5,-3.14,3.14,,,,,,,,
Grasp_base,-0.0321082111389046,-0.000168822009778203,0.0275474621634362,0,0,0,0.119820573147005,8.23026483118452E-05,2.1627287972411E-08,-6.37078693697654E-06,3.33372461482565E-05,2.3095070932307E-08,8.59654133961544E-05,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Grasp_base.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Grasp_base.STL,,夹爪总装-1/舵机夹爪连接件-1;夹爪总装-1/连接件双轴竖直-1;夹爪总装-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;夹爪总装-1/D405相机_step-1;夹爪总装-1/intel D405相机连接件-1;夹爪总装-1/BRH12滑轨（50mm夹爪）-1,Grasp_base,Joint6_to_gripper_base,Joint6_to_gripper_base,fixed,0,0,0,0,0,0,Link6,0,0,0,,,,,,,,,,,,
Link7,2.97087521250461E-08,0.0434087591943518,0.0106596716155943,0,0,0,0.0256461121677861,6.46830326573767E-06,2.39543799544883E-11,-4.63721293861409E-12,5.13428741941794E-06,-1.26432048814187E-06,8.03606347912567E-06,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link7.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link7.STL,,夹爪总装-1/左夹爪套-2;夹爪总装-1/BRH12滑块-2,Link7,gripper_joint,left_finger,prismatic,-0.0002,0.050502,0.13118,-1.5708,0,0,Grasp_base,0,0,-1,5,10,-0.05,0,,,,,,,,
Link8,-2.97087521250461E-08,-0.0434087591943727,0.0106596716155944,0,0,0,0.025646112167786,6.46830326573761E-06,2.39543799589352E-11,4.63721294819601E-12,5.13428741941793E-06,1.26432048814186E-06,8.03606347912559E-06,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link8.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://alicia_d_descriptions/meshes/Link8.STL,,夹爪总装-1/左夹爪套-1;夹爪总装-1/BRH12滑块-1,Link8,gripper_joint,right_finger,prismatic,-0.0002,-0.050498,0.13118,1.5708,0,0,Grasp_base,0,0,1,5,10,0,0.05,,,,,,,,
